--------- beginning of main
04-12 18:20:56.241  6019  6106 I ReactNativeJS: Running "main" with {"rootTag":11}
04-12 18:20:56.247  6019  6145 D TrafficStats: tagSocket(126) with statsTag=0xffffffff, statsUid=-1
04-12 18:20:56.366  6019  6106 W ReactNativeJS: The app is running using the Legacy Architecture. The Legacy Architecture is deprecated and will be removed in a future version of React Native. Please consider migrating to the New Architecture. For more information, please see https://reactnative.dev/blog/2024/10/23/the-new-architecture-is-here
04-12 18:20:56.417  6019  6107 D CompatibilityChangeReporter: Compat change id reported: 289878283; UID 10197; state: ENABLED
04-12 18:20:56.429  6019  6019 D Detox.RNMarker: CONTENT_APPEARED (main)
04-12 18:20:56.471  6019  6076 D EGL_emulation: app_time_stats: avg=820.25ms min=69.09ms max=1571.41ms count=2
04-12 18:20:56.476  6019  6019 I Detox   : Wait is over: App is now idle!
04-12 18:20:56.477  6019  6063 I DetoxWSClient: Sending out action 'ready' (ID #-1000)
04-12 18:20:56.477  6019  6063 I DetoxDispatcher: Done with action 'isReady'
04-12 18:20:56.494  6019  6146 D TrafficStats: tagSocket(142) with statsTag=0xffffffff, statsUid=-1
04-12 18:20:56.522  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_START (FileReaderModule)
04-12 18:20:56.523  6019  6106 D Detox.RNMarker: CREATE_MODULE_START (FileReaderModule)
04-12 18:20:56.525  6019  6106 D Detox.RNMarker: CREATE_MODULE_END (FileReaderModule)
04-12 18:20:56.526  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_END (FileReaderModule)
04-12 18:20:56.542  6019  6067 D DetoxWSClient: Received action 'reactNativeReload' (ID #-1000, params={})
04-12 18:20:56.542  6019  6063 I DetoxDispatcher: Handling action 'reactNativeReload' (ID #-1000)...
04-12 18:20:56.543  6019  6063 I DetoxRNExt: Reloading React Native
04-12 18:20:56.546  6019  6019 D Detox.RNMarker: DOWNLOAD_START (null)
04-12 18:20:56.565  6019  6076 E OpenGLRenderer: Unable to match the desired swap behavior.
04-12 18:20:56.578  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.579  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.594  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.619  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.635  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.652  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.668  6019  6147 W vindra.comparez: Verification of void com.facebook.common.references.CloseableReference.<clinit>() took 185.629ms (118.52 bytecodes/s) (1896B approximate peak alloc)
04-12 18:20:56.673  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.680  6019  6025 I vindra.comparez: NativeAlloc concurrent copying GC freed 259236(20MB) AllocSpace objects, 6(248KB) LOS objects, 49% free, 10MB/20MB, paused 15us,13us total 360.522ms
04-12 18:20:56.688  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.702  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.719  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.735  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.752  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.764  6019  6158 D TrafficStats: tagSocket(5) with statsTag=0xffffffff, statsUid=-1
04-12 18:20:56.768  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.785  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.803  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.839  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.855  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.871  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.878  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_START (I18nManager)
04-12 18:20:56.879  6019  6106 D Detox.RNMarker: CREATE_MODULE_START (I18nManager)
04-12 18:20:56.879  6019  6106 D Detox.RNMarker: CREATE_MODULE_END (I18nManager)
04-12 18:20:56.880  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_END (I18nManager)
04-12 18:20:56.888  6019  6019 I IdlingResourceRegistry: Ignoring message from unregistered resource: androidx.test.espresso.base.LooperIdlingResourceInterrogationHandler@d08a4c3
04-12 18:20:56.926  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_START (StatusBarManager)
04-12 18:20:56.931  6019  6106 D Detox.RNMarker: CREATE_MODULE_START (StatusBarManager)
04-12 18:20:56.932  6019  6106 D Detox.RNMarker: CREATE_MODULE_END (StatusBarManager)
04-12 18:20:56.933  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_END (StatusBarManager)
04-12 18:20:56.942  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_START (RNEdgeToEdge)
04-12 18:20:56.965  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_START (AccessibilityInfo)
04-12 18:20:56.967  6019  6106 D Detox.RNMarker: CREATE_MODULE_START (AccessibilityInfo)
04-12 18:20:56.971  6019  6106 D Detox.RNMarker: CREATE_MODULE_END (AccessibilityInfo)
04-12 18:20:56.972  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_END (AccessibilityInfo)
04-12 18:20:56.974  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_START (AccessibilityManager)
04-12 18:20:56.976  6019  6152 D Detox.RNMarker: DOWNLOAD_END ({"url":"http:\/\/10.0.2.2:8081\/.expo\/.virtual-metro-entry.bundle?platform=android&dev=true&lazy=true&minify=false&app=com.panviravindra.comparez&modulesOnly=false&runModule=true&excludeSource=true&sourcePaths=url-server","filesChangedCount":0})
04-12 18:20:56.977  6019  6106 D Detox.RNMarker: NATIVE_MODULE_SETUP_START (KeyboardObserver)
